City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Limpapa,PH,74.53,scattered clouds,7.1197,121.9106,The Ranch ZC
372,Natitingou,BJ,74.46,overcast clouds,10.3042,1.3796,Auberge Centrale
380,Aguas Vermelhas,BR,64.98,light rain,-15.7472,-41.46,
387,Puerto Leguizamo,CO,72.79,broken clouds,-0.1934,-74.7819,la casona de juancho
391,Vila Franca Do Campo,PT,63.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
394,Tezu,IN,64.06,overcast clouds,27.9167,96.1667,Circuit House
396,Laranjeiras Do Sul,BR,66.2,light rain,-25.4078,-52.4161,Hotel Palmeiras
397,Ancud,CL,71.13,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
411,Aguimes,ES,63.23,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
413,Araouane,ML,61.88,broken clouds,18.9048,-3.5265,
415,Moussoro,TD,75.0,few clouds,13.6408,16.4901,Hôtel Salama
418,Antofagasta,CL,63.68,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
423,Tubmanburg,LR,75.45,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
426,Tanda,IN,68.94,scattered clouds,26.55,82.65,MUMTAZ GANJ TANDA
429,Eyl,SO,74.03,scattered clouds,7.9803,49.8164,Amiin Hotel
431,Sembe,CG,73.71,overcast clouds,1.6481,14.5806,
432,Necochea,AR,61.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
438,Bandarbeyla,SO,75.87,clear sky,9.4942,50.8122,JABIR HOTEL
441,Impfondo,CG,72.05,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
442,Namibe,AO,71.82,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
443,Mozarlandia,BR,74.03,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
444,Kovur,IN,73.74,few clouds,14.4833,79.9833,Hotel Yesh Park
447,Oudtshoorn,ZA,63.99,moderate rain,-33.5907,22.2014,Earthbound Guest House
450,San Matias,BO,74.01,heavy intensity rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
453,Roswell,US,60.57,broken clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
459,Adeje,ES,68.56,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
463,Bara,NG,72.45,broken clouds,10.3744,10.7288,
468,Avera,US,64.06,overcast clouds,33.194,-82.5271,
470,Rodrigues Alves,BR,72.09,overcast clouds,-7.738,-72.6509,Pousada Aconchego
471,Kisaran,ID,73.6,overcast clouds,2.9845,99.6158,Penginapan Batubara1
473,Ulladulla,AU,70.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
474,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
475,Inongo,CD,71.06,overcast clouds,-1.95,18.2667,Hotel Du Lac
478,Rafai,CF,71.01,overcast clouds,4.95,23.9167,
480,Pilar,BR,73.58,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
484,Wanganui,NZ,67.59,light rain,-39.9333,175.05,Aotea Motor Lodge
486,Mogapi,BW,68.0,overcast clouds,-22.323,27.8349,
490,Teknaf,BD,75.09,broken clouds,20.8624,92.3058,Forestry Guesthouse
494,Half Moon Bay,US,65.25,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
495,Mangrol,IN,71.89,clear sky,21.1167,70.1167,Hotel The Royal Honours
497,Veraval,IN,72.1,clear sky,20.9,70.3667,Lords Inn Somnath
506,Lagunas,PE,75.52,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
508,Pasighat,IN,63.7,overcast clouds,28.0667,95.3333,Siang Guest House
511,Sibolga,ID,75.83,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
513,Lubumbashi,CD,65.43,scattered clouds,-11.6609,27.4794,Glo Flats
518,Lichinga,MZ,64.33,overcast clouds,-13.3128,35.2406,Residencial Bendiak
519,Huarmey,PE,66.9,overcast clouds,-10.0681,-78.1522,Hotel Miramar
520,Zhuhai,CN,64.98,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
523,Stephenville,US,74.19,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
526,Riberalta,BO,74.19,moderate rain,-10.9833,-66.1,Hotel Colonial
528,Tres Marias,MX,63.46,scattered clouds,19.0522,-99.2431,La Quinta Nube
529,Arlit,NE,68.05,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
530,Hamilton,US,60.42,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
536,Petauke,ZM,71.29,few clouds,-14.2426,31.3253,Newline Lodge
539,Santa Cruz,BO,70.34,light rain,-17.8,-63.1667,Aviador Hotel Boutique
543,Ranong,TH,72.3,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
553,Adrar,MR,61.39,overcast clouds,20.5022,-10.0711,
557,Manono,CD,68.85,overcast clouds,-7.3,27.4167,Hotel hewa bora
560,Moron,AR,69.98,few clouds,-34.6534,-58.6198,Hotel Morón
566,Piranhas,BR,74.8,scattered clouds,-16.4269,-51.8222,Planalto Hotel
