City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Hasaki,JP,35.7333,140.8333,48.6,61,100,11.32,overcast clouds
121,Misratah,LY,32.3754,15.0925,56.93,36,0,14.9,clear sky
122,Saskylakh,RU,71.9167,114.0833,-34.64,99,99,4.79,overcast clouds
123,Yellowknife,CA,62.456,-114.3525,-19.71,85,20,2.3,few clouds
124,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,55,75,6.71,broken clouds
125,Port Moresby,PG,-9.4431,147.1797,81.82,78,75,11.5,broken clouds
126,Avarua,CK,-21.2078,-159.775,82.45,78,75,8.05,light rain
127,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,40,8.05,scattered clouds
128,Alenquer,BR,-1.9417,-54.7383,79.14,80,96,2.24,overcast clouds
129,Mananjary,MG,-21.2167,48.3333,75.07,90,2,6.71,clear sky
130,Bataipora,BR,-22.2953,-53.2711,78.69,41,20,3.56,few clouds
131,Ngunguru,NZ,-35.6167,174.5,78.17,80,44,13.13,scattered clouds
132,Stavern,NO,59.0,10.0333,21.31,81,100,14.58,overcast clouds
133,Aragarcas,BR,-15.8975,-52.2508,75.09,87,74,2.98,broken clouds
134,Port Lincoln,AU,-34.7333,135.8667,66.47,55,12,1.07,few clouds
135,Lerwick,GB,60.1545,-1.1494,41.0,64,59,8.5,broken clouds
136,Longyearbyen,SJ,78.2186,15.6401,9.57,92,69,4.12,broken clouds
137,Kiunga,PG,-6.1219,141.2906,85.14,66,77,2.1,broken clouds
138,Alyangula,AU,-13.8483,136.4192,85.87,89,98,0.0,overcast clouds
139,Egvekinot,RU,66.3167,-179.1667,-0.38,82,97,26.8,overcast clouds
140,Ust-Kuyga,RU,70.0167,135.6,-21.15,98,100,2.86,overcast clouds
141,Barrow,US,71.2906,-156.7887,12.22,79,90,21.85,haze
142,Vaini,TO,-21.2,-175.2,84.36,84,40,11.5,scattered clouds
143,Dikson,RU,73.5069,80.5464,-3.96,95,100,9.86,overcast clouds
144,Mazatlan,MX,23.2167,-106.4167,78.03,79,92,1.01,overcast clouds
145,Cockburn Town,TC,21.4612,-71.1419,80.29,78,55,21.56,broken clouds
146,Santa Maria,BR,-29.6842,-53.8069,78.1,61,20,10.36,few clouds
147,Pevek,RU,69.7008,170.3133,-9.08,96,100,17.09,overcast clouds
148,Puerto Ayora,EC,-0.7393,-90.3518,68.49,87,42,10.22,scattered clouds
149,Kruisfontein,ZA,-34.0033,24.7314,62.89,94,47,12.15,scattered clouds
150,Veles,MK,41.7156,21.7756,39.65,88,74,5.32,broken clouds
151,Nemuro,JP,43.3236,145.575,34.23,69,3,15.03,clear sky
152,Nikolskoye,RU,59.7035,30.7861,-1.61,97,8,4.45,clear sky
153,Bethel,US,41.3712,-73.414,43.75,56,75,4.61,broken clouds
154,Belmonte,BR,-15.8631,-38.8828,77.5,84,0,4.54,clear sky
155,Elizabeth City,US,36.2946,-76.2511,57.99,83,90,6.91,overcast clouds
156,Towada,JP,40.6127,141.2067,38.88,69,5,4.09,clear sky
157,Tiksi,RU,71.6872,128.8694,-15.97,94,100,6.71,overcast clouds
158,Smolensk,RU,55.0,33.0,22.62,98,100,3.91,overcast clouds
159,Catuday,PH,16.2923,119.8062,74.91,71,92,8.72,overcast clouds
160,Salinopolis,BR,-0.6136,-47.3561,79.81,85,24,11.05,few clouds
161,Grindavik,IS,63.8424,-22.4338,39.67,87,75,12.66,broken clouds
162,Mbini,GQ,1.574,9.6134,80.17,84,100,4.74,overcast clouds
163,Zyryanka,RU,65.75,150.85,-45.11,97,77,5.14,broken clouds
164,Eureka,US,40.8021,-124.1637,53.58,83,72,7.23,broken clouds
165,Banes,CU,20.9625,-75.7186,78.08,82,75,11.52,broken clouds
166,Jinxiang,CN,27.4327,120.6062,55.78,76,11,8.72,few clouds
167,Port Elizabeth,ZA,-33.918,25.5701,65.1,100,90,16.11,overcast clouds
168,Torbay,CA,47.6666,-52.7314,33.58,82,90,14.97,light shower snow
169,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,67,75,15.99,broken clouds
170,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,11.5,broken clouds
171,Waingapu,ID,-9.6567,120.2641,80.76,78,100,3.74,moderate rain
172,Aykhal,RU,66.0,111.5,-33.11,100,88,7.31,overcast clouds
173,Cusuna,HN,15.85,-85.2333,75.29,89,43,1.1,scattered clouds
174,Okitipupa,NG,6.5047,4.7839,76.86,92,15,2.42,few clouds
175,Calamar,CO,10.2511,-74.9146,82.35,79,43,7.05,scattered clouds
176,Lebu,CL,-37.6167,-73.65,58.5,80,0,13.47,clear sky
177,Bonavista,CA,48.6499,-53.1147,33.12,63,93,19.82,overcast clouds
178,Portland,US,45.5234,-122.6762,47.1,77,75,1.01,broken clouds
179,Kahului,US,20.8947,-156.47,76.84,89,90,9.22,mist
180,Vao,NC,-22.6667,167.4833,75.99,81,100,15.17,overcast clouds
181,Cayenne,GF,4.9333,-52.3333,78.1,90,75,2.3,broken clouds
182,Sola,VU,-13.8833,167.55,83.07,84,75,0.0,broken clouds
183,Leningradskiy,RU,69.3833,178.4167,-2.61,98,100,17.25,light snow
184,Provideniya,RU,64.3833,-173.3,28.51,86,90,15.66,snow
185,Sundumbili,ZA,-29.1337,31.3975,73.71,72,90,11.27,overcast clouds
186,Minuri,PH,16.535,121.8574,68.77,95,95,2.66,overcast clouds
187,Mayya,RU,61.7333,130.2811,-24.48,100,100,3.0,overcast clouds
188,Manicore,BR,-5.8092,-61.3003,76.17,95,93,2.28,light rain
189,Lompoc,US,34.6391,-120.4579,78.08,75,1,21.0,clear sky
190,Otjimbingwe,NA,-22.35,16.1333,63.82,39,0,1.81,clear sky
191,Jardim,BR,-21.4803,-56.1381,79.45,54,62,5.01,broken clouds
