City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Mayo,US,2021-12-04 00:43:08,38.8876,-76.5119,52.56,62,90,3.44
94,Carutapera,BR,2021-12-04 00:44:28,-1.195,-46.02,76.26,92,100,4.07
95,Lodwar,KE,2021-12-04 00:44:28,3.1191,35.5973,80.28,53,62,9.57
96,Westport,US,2021-12-04 00:44:28,41.1415,-73.3579,42.76,57,1,1.01
97,Hermanus,ZA,2021-12-04 00:44:29,-34.4187,19.2345,59.9,75,82,11.97
98,Sandpoint,US,2021-12-04 00:44:29,48.2766,-116.5533,36.68,78,90,1.99
99,Hasanabad,IR,2021-12-04 00:44:29,36.5465,61.0543,41.67,88,100,8.81
100,Saldanha,ZA,2021-12-04 00:44:30,-33.0117,17.9442,60.85,79,86,14.88
101,Grand-Santi,GF,2021-12-04 00:44:30,4.25,-54.3833,72.19,99,73,2.04
102,New Norfolk,AU,2021-12-04 00:44:31,-42.7826,147.0587,56.66,44,76,3.0
103,Tessalit,ML,2021-12-04 00:44:31,20.1986,1.0114,66.7,18,44,9.62
104,Jumla,NP,2021-12-04 00:44:31,29.2747,82.1838,36.9,80,7,6.91
105,Laguna,US,2021-12-04 00:44:32,38.421,-121.4238,62.42,92,1,5.75
106,Coihaique,CL,2021-12-04 00:44:32,-45.5752,-72.0662,58.95,41,0,4.61
107,Santa Maria Da Vitoria,BR,2021-12-04 00:44:32,-13.3947,-44.1886,70.74,94,82,2.33
108,Carnarvon,AU,2021-12-04 00:44:33,-24.8667,113.6333,75.27,78,0,11.5
109,Atuona,PF,2021-12-04 00:44:33,-9.8,-139.0333,78.87,71,1,16.24
110,Chicama,PE,2021-12-04 00:44:34,-7.8447,-79.1469,63.14,80,95,6.76
111,Hobart,AU,2021-12-04 00:44:11,-42.8794,147.3294,57.02,61,75,1.01
112,Udachnyy,RU,2021-12-04 00:44:34,66.4167,112.4,-5.22,98,100,10.69
113,Jamestown,US,2021-12-04 00:44:01,42.097,-79.2353,35.24,81,90,10.0
114,Kysyl-Syr,RU,2021-12-04 00:44:35,63.8986,122.7617,-19.03,93,100,15.14
115,East London,ZA,2021-12-04 00:44:35,-33.0153,27.9116,64.56,78,96,8.1
116,Druzhba,UA,2021-12-04 00:44:36,52.0428,33.9453,26.06,93,6,10.83
117,Qaanaaq,GL,2021-12-04 00:44:36,77.484,-69.3632,7.99,92,100,3.24
118,Presidencia Roque Saenz Pena,AR,2021-12-04 00:44:36,-26.7852,-60.4388,72.23,63,7,6.06
119,Ouadda,CF,2021-12-04 00:44:37,8.0777,22.4007,71.85,41,21,4.38
120,Husavik,IS,2021-12-04 00:44:37,66.0449,-17.3389,12.11,81,20,14.7
121,Torrington,US,2021-12-04 00:41:13,41.8007,-73.1212,36.14,66,0,6.24
122,Upington,ZA,2021-12-04 00:44:37,-28.4478,21.2561,68.38,88,75,8.05
123,Salekhard,RU,2021-12-04 00:44:38,66.53,66.6019,-6.32,97,100,6.35
124,Diu,IN,2021-12-04 00:44:38,20.7141,70.9822,70.38,64,61,8.72
125,Flinders,AU,2021-12-04 00:44:38,-34.5833,150.8552,68.18,81,97,9.35
126,Kisaran,ID,2021-12-04 00:44:39,2.9845,99.6158,76.08,90,100,6.24
127,Castro,BR,2021-12-04 00:44:39,-24.7911,-50.0119,59.85,94,65,10.38
128,Pangnirtung,CA,2021-12-04 00:44:40,66.1451,-65.7125,12.02,73,100,7.4
129,Sao Bernardo,BR,2021-12-04 00:44:40,-3.3614,-42.4178,77.63,88,98,6.11
130,Dunedin,NZ,2021-12-04 00:40:40,-45.8742,170.5036,63.45,83,100,5.99
131,Merauke,ID,2021-12-04 00:42:48,-8.4667,140.3333,86.13,67,100,6.89
132,Porto Novo,BJ,2021-12-04 00:44:41,6.4965,2.6036,84.02,84,100,5.44
133,Hovd,MN,2021-12-04 00:44:41,48.0056,91.6419,20.64,48,81,2.91
134,Hasaki,JP,2021-12-04 00:44:41,35.7333,140.8333,54.0,54,0,5.46
135,Bambous Virieux,MU,2021-12-04 00:44:42,-20.3428,57.7575,77.22,88,20,5.75
136,Abnub,EG,2021-12-04 00:44:42,27.2696,31.1511,55.62,52,5,0.92
137,Saint Anthony,US,2021-12-04 00:44:43,45.0205,-93.218,38.53,85,40,1.99
138,Aklavik,CA,2021-12-04 00:44:43,68.2191,-135.0107,-22.97,75,1,3.44
139,Sao Miguel Do Araguaia,BR,2021-12-04 00:44:43,-13.275,-50.1628,75.29,89,100,1.5
140,Sioux Lookout,CA,2021-12-04 00:42:16,50.1001,-91.917,26.98,93,90,9.22
141,Kavieng,PG,2021-12-04 00:45:44,-2.5744,150.7967,84.6,70,99,6.26
142,Bidor,MY,2021-12-04 00:45:44,4.1139,101.2884,75.18,82,98,1.16
143,Spassk-Dalniy,RU,2021-12-04 00:45:45,44.5978,132.8211,7.2,80,68,7.63
144,Kang,BW,2021-12-04 00:45:45,-23.6752,22.7876,68.54,76,97,12.1
145,Itapetinga,BR,2021-12-04 00:45:46,-15.2489,-40.2478,70.34,97,92,3.13
146,Bamut,RU,2021-12-04 00:45:46,43.1599,45.1973,22.51,52,11,3.24
147,San Cristobal,VE,2021-12-04 00:45:47,7.7669,-72.225,73.58,89,77,1.57
148,Sweetwater,US,2021-12-04 00:45:47,25.7634,-80.3731,75.22,68,40,3.44
149,Pangai,TO,2021-12-04 00:45:47,-19.8,-174.35,82.51,74,20,14.97
150,Vuktyl,RU,2021-12-04 00:45:48,63.8567,57.3094,0.12,95,96,5.66
151,Mar Del Plata,AR,2021-12-04 00:43:27,-38.0023,-57.5575,60.1,87,90,1.99
152,Salalah,OM,2021-12-04 00:45:48,17.0151,54.0924,71.69,49,0,3.44
153,Abha,SA,2021-12-04 00:45:49,18.2164,42.5053,49.82,29,0,4.61
154,Pahrump,US,2021-12-04 00:45:49,36.2083,-115.9839,68.05,23,0,0.2
155,Georgetown,MY,2021-12-04 00:44:17,5.4112,100.3354,79.9,86,20,5.99
156,Ranong,TH,2021-12-04 00:45:50,9.9658,98.6348,78.73,74,79,8.81
157,Ancud,CL,2021-12-04 00:45:50,-41.8697,-73.8203,56.73,85,0,2.82
158,Fortuna,US,2021-12-04 00:41:34,40.5982,-124.1573,56.43,75,90,0.0
159,Broken Hill,AU,2021-12-04 00:45:51,-31.95,141.4333,65.91,45,99,18.41
160,San Quintin,MX,2021-12-04 00:45:51,30.4833,-115.95,59.36,85,22,11.07
161,Kuusankoski,FI,2021-12-04 00:45:52,60.907,26.6244,21.72,97,90,3.0
